生詞,冊,課-序號
個性,3,1-2
活潑,3,1-2
外語,3,1-2
擔心,3,1-2
填,3,1-2
表,3,1-2
辦,3,1-2
手續,3,1-2
申請,3,1-2
成績單,3,1-2
考上,3,1-2
推薦信,3,1-2
起,3,2-1
外套,3,2-1
一般,3,2-1
商品,3,2-1
折扣,3,2-1
省,3,2-1
牌子,3,2-1
品質,3,2-1
選擇,3,2-1
樣子,3,2-1
摸,3,2-1
店員,3,2-1
短,3,2-1
羊毛,3,2-1
暖和,3,2-1
打折,3,2-1
原價,3,2-1
刷卡,3,2-1
現金,3,2-1
麻煩,3,2-1
簽名,3,2-1
破洞,3,2-1
發票,3,2-1
弄,3,2-1
退,3,2-1
換,3,2-1
店長,3,2-1
週年慶,3,2-1
一般來說,3,2-1
試穿,3,2-1
打完折,3,2-1
弄丟,3,2-1
購物,3,2-2
糾紛,3,2-2
電信,3,2-2
門市,3,2-2
居留證,3,2-2
月租型,3,2-2
帳單,3,2-2
並,3,2-2
包括,3,2-2
解釋,3,2-2
顧客,3,2-2
尤其,3,2-2
騙,3,2-2
頓,3,2-2
辦法,3,2-2
自動,3,2-2
關機,3,2-2
修理,3,2-2
繳費,3,2-2
預付卡,3,2-2
換成,3,2-2
吃到飽,3,2-2
嚇一跳,3,2-2
客服中心,3,2-2
陳敏萱,3,3-1
高橋健太,3,3-1
空氣,3,3-1
影響,3,3-1
穩定,3,3-1
幸虧,3,3-1
躲,3,3-1
度,3,3-1
溫度,3,3-1
零下,3,3-1
感覺,3,3-1
實際,3,3-1
難怪,3,3-1
季節,3,3-1
火鍋,3,3-1
海鮮,3,3-1
新鮮,3,3-1
櫻花,3,3-1
變化,3,3-1
氣溫,3,3-1
差,3,3-1
幾乎,3,3-1
乾,3,3-1
發霉,3,3-1
除濕機,3,3-1
雨季,3,3-1
涼快,3,3-1
潮濕,3,3-1
悶,3,3-1
冷氣,3,3-1
荷蘭,3,3-1
出大太陽,3,3-1
颳風,3,3-1
受到,3,3-1
受不了,3,3-1
餓死了,3,3-1
後母臉,3,3-1
祖先,3,3-2
移民,3,3-2
當中,3,3-2
根據,3,3-2
農曆,3,3-2
農業,3,3-2
農人,3,3-2
難得,3,3-2
祭祖,3,3-2
拜,3,3-2
神,3,3-2
拜拜,3,3-2
蚊蟲,3,3-2
戴,3,3-2
香包,3,3-2
掛,3,3-2
瘟疫,3,3-2
做法,3,3-2
多少,3,3-2
作用,3,3-2
迷信,3,3-2
收成,3,3-2
民族,3,3-2
月亮,3,3-2
圓,3,3-2
社會,3,3-2
團聚,3,3-2
月餅,3,3-2
柚子,3,3-2
故事,3,3-2
溫馨,3,3-2
端午節,3,3-2
中秋節,3,3-2
雄黃酒,3,3-2
古時候,3,3-2
趕走,3,3-2
過節,3,3-2
愛,3,4-1
人情味,3,4-1
放,3,4-1
天燈,3,4-1
願望,3,4-1
訊號,3,4-1
元宵,3,4-1
牆,3,4-1
耐心,3,4-1
感動,3,4-1
擔仔麵,3,4-1
招牌,3,4-1
當地,3,4-1
賺,3,4-1
而,3,4-1
交,3,4-1
理想,3,4-1
剛剛,3,4-1
改天,3,4-1
無聊,3,4-1
東區,3,4-1
煙火,3,4-1
跨年,3,4-1
種類,3,4-1
價錢,3,4-1
感覺,3,4-1
雞排,3,4-1
口,3,4-1
紅茶,3,4-1
平溪,3,4-1
元宵節,3,4-1
孔廟,3,4-1
校外教學,3,4-1
碰到,3,4-1
水煎包,3,4-1
同事,3,4-2
美食,3,4-2
上,3,4-2
泡,3,4-2
錯過,3,4-2
營業,3,4-2
夜景,3,4-2
古老,3,4-2
古蹟,3,4-2
重視,3,4-2
歷史,3,4-2
風俗,3,4-2
習慣,3,4-2
道地,3,4-2
粥,3,4-2
講究,3,4-2
頓,3,4-2
速度,3,4-2
窄,3,4-2
街道,3,4-2
蓋,3,4-2
待,3,4-2
